Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cordoba;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cordoba;Disco;452 - La Falda.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;30;0;3;0;8;27;10;0,36;0;;25;25/2/2023;1;AL;V;SI;66,17;0;9779
Cordoba;Vea;453 - Ruta 9.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;16;2;0;1;12;12;1,06;108,91;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;455 - Zanni.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;100;0;0;10;0;11;12;10;0,88;108,91;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Disco;456 - Jesús María.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;180;0;0;18;0;94;52;10;0,19;0;;25;18/2/2023;8;AL;V;SI;66,17;0;9779
Cordoba;Disco;460 - Ricchieri.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;200;0;0;36;0;75;37;18;0,48;109,98;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;464 - San Francisco.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;200;0;0;20;0;80;40;10;0,25;108,91;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;466 - Armada Argentina.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;240;0;0;24;0;38;16;10;0,63;0;;25;22/2/2023;4;AL;V;SI;66,17;0;9779
Cordoba;Disco;468 - Recta Martinolli.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;300;0;0;30;0;52;17;10;0,57;0;;25;26/10/2022;123;AL;V;SI;66,17;0;9779
Cordoba;Vea;472 - Ipona.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;50;0;5;0;6;13;10;0,75;0;;25;22/2/2023;4;AL;V;SI;66,17;0;9779
Cordoba;Vea;473 - 24 de Septiembre.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;178;0;0;25;0;20;12;14;1,21;0;;25;31/1/2023;26;AL;V;SI;66,17;0;9779
Cordoba;Vea;475 - Arguello.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;120;0;0;12;0;17;14;10;0,69;108,91;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;476 - Colon II.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;150;0;0;15;0;120;80;10;0,13;0;;25;19/2/2023;7;AL;V;SI;66,17;0;9779
Cordoba;Vea;478 - Bellville.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;178;0;0;25;0;21;12;14;1,19;0;;25;13/11/2022;33;AL;V;SI;66,17;0;9779
Cordoba;Vea;479 - Rio Cuarto.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;113;0;0;17;0;17;15;15;1;108,91;;25;26/2/2023;0;AL;V;SI;66,17;0;9779
Cordoba;Vea;485 - La Calera..;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;250;0;0;25;0;47;18;10;0,53;0;;25;21/11/2022;84;AL;V;SI;66,17;0;9779
Cordoba;Vea;503 - Marcos Juarez.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;150;0;0;15;0;24;16;10;0,63;0;;25;23/2/2023;3;AL;V;SI;66,17;0;9779
Cordoba;Disco;583 - SM 583 - Villa Allende.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;147;0;0;25;0;21;15;17;1,14;0;;25;5/1/2023;34;AL;V;SI;66,17;0;9779
