Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Buenos Aires;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Buenos Aires;Vea;162 - Luján.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;192;0;0;50;50;50;26;26;1;0;;25;5/2/2023;6;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;163 - Bella Vista.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;383;0;0;23;0;115;30;6;0,2;0;;25;13/2/2023;13;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;164 - Hurlingham.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;416;0;0;25;0;20;5;6;1,2;0;;25;14/1/2023;11;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;165 - Mercedes.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;416;0;0;25;25;21;5;6;1,18;0;;25;18/1/2023;9;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;18 - Quintana.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;165;0;0;63;25;55;33;38;1,14;0;;25;25/2/2023;1;XD;V;SI;71,03;38;9217
Buenos Aires;Vea;19 - Bulnes.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;100;0;0;6;0;10;10;6;0,57;106,78;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;2 - Talcahuano...;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;0;0;0;25;0;9;6;0,63;0;;25;19/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Vea;20 - Lanús.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;483;0;0;29;0;92;19;6;0,31;106,78;;25;26/2/2023;0;XD;V;SI;71,03;0;9217
Buenos Aires;Disco;217 - Centro Distribución Ezei;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;0;47;0;1325;0;18;40;2813;70,34;0;;25;8/3/2022;21;XD;V;SI;71,03;0;0
Buenos Aires;Disco;22 - Santa Fe.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;433;0;0;13;0;32;7;3;0,4;0;;25;24/2/2023;2;XD;V;SI;71,03;0;9217
