Acido:; Incluye solo Stock;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha:; 26/2/2023;;;;;;;;;;;;;;;;;;;;;;;;;;
Region:; Cuyo;;;;;;;;;;;;;;;;;;;;;;;;;;
Region;Cadena;Local;Seccion;Familia;Item;Descripcion;Codigo Interno;% NS;% NS1;% NS2;Stock;Pend Entrega;Dias Stock;Dias Obj;Cob Obj Un;Vta Prom DiariaNeta;Pco Uni;Promo;UxB;Fecha Ult Vta;Dias Sin Vta con Stk;Forma Entrega;Vigencia;Rol Local;Costo;Carga Gondola;CD Abastece
Cuyo;Vea;190 - Vea 24.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;125;0;0;10;0;18;14;8;0,55;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;191 - Vea 25.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;175;0;0;14;0;15;8;8;0,93;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;192 - Vea 26.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;337;0;0;27;0;20;6;8;1,29;0;;25;24/2/2023;2;AL;V;SI;71,03;0;9221
Cuyo;Vea;193 - Vea 27.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;662;0;0;53;0;148;22;8;0,36;0;;25;25/2/2023;1;AL;V;SI;71,03;0;9221
Cuyo;Vea;194 - Vea 28.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;388;0;0;35;0;12;9;9;2,81;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;196 - Mayorista.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;275;0;0;22;0;9999;15;8;0;0;;25;17/2/2023;9;AL;V;SI;71,03;0;9221
Cuyo;Vea;220 - Vea 30.;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;475;0;0;38;0;19;4;8;1,93;106,78;;25;26/2/2023;0;AL;V;SI;71,03;0;9221
Cuyo;Vea;221 - Centro Distribución Cuyo;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;66666;0;0;2000;0;9999;20;3;0;0;;25;26/2/2023;0;  ;V;SI;71,03;0;0
Cuyo;Vea;224 - Base Op. Logísticas NOA ;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1666;0;0;50;0;9999;20;3;0;0;;25;  /  /    ;5;XD;V;SI;71,03;0;0
Cuyo;Vea;242 - Patio Palmera;Comestible;Especias y Condimentos;'7790150406915;AJI TRITURADO ALICANTE ST21 S25G 0.03KGM;11550105006;1662;0;0;133;0;460;27;8;0,29;111,05;;25;26/2/2023;0;XD;V;SI;71,03;0;268
